Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,457763,20180329-sfo-lad-1
2018-03-30,4.0,1.0,6.0,4.0,1.0,6.0,4.0,1.0,6.0,4.0,1.0,6.0,457763,20180330-sfo-lad-1
2018-04-01,4.0,1.0,2.4,4.0,1.0,2.88,4.0,1.0,2.94,4.0,1.0,3.0,457763,20180401-sfo-lad-1
2018-04-03,4.0,0.5263157894736842,8.368421052631577,4.0,0.6396588486140725,7.247334754797441,4.0,0.6532462338354886,7.121850419944008,4.0,0.6666666666666666,7.0,457763,20180403-sea-sfo-1
2018-04-07,4.0,1.9692307692307687,7.467692307692306,4.0,1.5831309904153352,6.953277955271565,4.0,1.5407916833266693,6.8773794482207125,4.0,1.5,6.8,457763,20180407-lad-sfo-1
2018-04-10,4.767772511848341,3.9004739336492884,14.274881516587675,4.466450543438319,2.8464817370428133,11.208874662137331,4.432626748756938,2.7216914557412806,10.84080732723238,4.4,2.6,10.48,457763,20180410-ari-sfo-1
2018-04-11,4.487218045112782,4.302255639097744,14.722556390977443,4.372367824209255,3.2808447299444543,12.074391373433107,4.353123617610074,3.140372601804644,11.69701977171455,4.333333333333333,3.0,11.316666666666668,457763,20180411-ari-sfo-1
2018-04-14,4.314715881495872,3.8411850412821757,18.43215152986887,4.305593376961501,3.2304825601079235,14.428126588581092,4.296426389637348,3.1178344961420805,13.86504680285945,4.285714285714286,3.0,13.3,457763,20180414-sfo-sdg-1
2018-04-17,4.205551149881047,3.896272799365583,12.038636003172089,4.2558835138987074,3.3556574148178333,12.081150996039458,4.253982686384938,3.244147038392672,11.879785191026254,4.25,3.125,11.637500000000001,457763,20180417-sfo-ari-1
2018-04-18,3.79296854624172,2.5628292733816704,7.918585363309169,4.067726372945556,2.852911022972694,10.271146480746927,4.0913412921575985,2.8233815819542163,10.33897856939743,4.111111111111111,2.7777777777777777,10.344444444444445,457763,20180418-sfo-ari-1
2018-04-20,4.202412753123654,3.050340370529944,8.353261525204655,4.197910048152252,3.013091740827307,10.121570453385798,4.1994152283424375,2.963326076766499,10.203510878214189,4.2,2.9,10.23,457763,20180420-sfo-laa-1
2018-04-23,4.134152679341401,4.719524383348848,5.5362737651271585,4.171904683674242,3.6683710867168937,8.791596906374867,4.17744844482872,3.5181459198672904,9.07953295333522,4.181818181818182,3.3636363636363638,9.3,457763,20180423-was-sfo-1
