Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-07,20180407-nym-was-1,,,,,,,,,,,,,607208,20180407-nym-was-1
2018-04-13,20180413-col-was-1,4.0,2.0,12.0,4.0,2.0,12.0,4.0,2.0,12.0,4.0,2.0,12.0,607208,20180413-col-was-1
2018-04-15,20180415-col-was-1,4.0,1.4000000000000001,10.2,4.0,1.48,10.44,4.0,1.49,10.47,4.0,1.5,10.5,607208,20180415-col-was-1
2018-04-18,20180418-was-nym-1,4.473684210526316,3.1052631578947363,11.14736842105263,4.360341151385928,2.7484008528784645,11.074200426439232,4.346753766164511,2.707105719237435,11.069884015464606,4.333333333333333,2.6666666666666665,11.066666666666668,607208,20180418-was-nym-1
2018-04-20,20180420-was-lad-1,4.276923076923077,3.8923076923076914,6.516923076923077,4.259169329073482,3.380575079872204,7.964932907348242,4.254796081567372,3.3151719312275088,8.134195921631347,4.25,3.25,8.3,607208,20180420-was-lad-1
2018-04-21,20180421-was-lad-1,4.5545023696682465,4.317535545023697,10.04218009478673,4.431949763598206,3.7582658968977873,9.768946031797878,4.415993655763591,3.679622776031246,9.770780531709654,4.4,3.6,9.780000000000001,607208,20180421-was-lad-1
2018-04-22,20180422-was-lad-1,4.351879699248121,2.739849624060151,7.468872180451129,4.3448258253772085,3.0002265288661336,8.40365477435389,4.339547161723488,3.003424337135925,8.526524936960064,4.333333333333333,3.0,8.65,607208,20180422-was-lad-1
2018-04-24,20180424-was-sfo-1,4.581350169985431,2.831957260806217,4.824477901894125,4.462314207877345,3.0001859068283574,6.896678698722047,4.445588908209972,3.00287452847525,7.157513338591774,4.428571428571429,3.0,7.4142857142857155,607208,20180424-was-sfo-1
2018-04-28,20180428-ari-was-1,4.379698651863601,2.8902458366375896,3.151022997620937,4.387111086022836,3.0001556659799724,5.774818804013829,4.381787424759842,3.002462940175897,6.13266743151847,4.375,3.0,6.487500000000001,607208,20180428-ari-was-1
2018-04-29,20180429-ari-was-1,4.591987898388191,2.927807626101925,6.247905690887278,4.478934431500024,3.000132344019447,6.737442893400689,4.461969516791588,3.002143497149725,6.919599690546378,4.444444444444445,3.0,7.122222222222224,607208,20180429-ari-was-1
