Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,606115,20180329-mil-sdg-1
2018-03-30,5.0,2.0,6.5,5.0,2.0,6.5,5.0,2.0,6.5,5.0,2.0,6.5,606115,20180330-mil-sdg-1
2018-04-05,4.4,5.6000000000000005,4.4,4.48,5.12,4.68,4.49,5.06,4.715,4.5,5.0,4.75,606115,20180405-chc-mil-1
2018-04-08,3.7368421052631575,2.947368421052632,2.3157894736842106,3.9466950959488276,3.2750533049040516,2.9936034115138592,3.9733368884148783,3.3054259432075725,3.080055992534329,4.0,3.3333333333333335,3.1666666666666665,606115,20180408-chc-mil-1
2018-04-13,3.43076923076923,1.7230769230769234,1.3538461538461541,3.680894568690096,2.355527156549521,2.1530990415335465,3.715211915233907,2.4288404638144745,2.2632377049180334,3.75,2.5,2.375,606115,20180413-mil-nym-1
2018-04-19,3.265402843601896,2.9810426540284363,0.8341232227488155,3.522092747895248,2.9722850540171972,1.6509419325336232,3.5605020124539726,2.985016659152145,1.7736691199466315,3.6,3.0,1.9,606115,20180419-mia-mil-1
