Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-04,,,,,,,,,,,,,570731,20180404-bal-hou-1
2018-04-06,5.0,2.0,15.0,5.0,2.0,15.0,5.0,2.0,15.0,5.0,2.0,15.0,570731,20180406-bal-nyy-1
2018-04-08,6.2,5.0,7.920000000000002,6.040000000000001,4.6000000000000005,8.863999999999999,6.02,4.55,8.982,6.0,4.5,9.1,570731,20180408-bal-nyy-1
2018-04-09,6.105263157894736,6.421052631578947,7.105263157894737,6.025586353944563,5.825159914712153,7.904051172707889,6.013064924676711,5.746300493267564,8.01733102253033,6.0,5.666666666666667,8.133333333333333,570731,20180409-tor-bal-1
2018-04-13,5.6461538461538465,4.1692307692307695,5.4,5.737635782747604,4.470415335463259,6.527156549520766,5.744404238304679,4.487600959616154,6.686755297880848,5.75,4.5,6.85,570731,20180413-bal-bos-1
