Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-04,20180404-col-sdg-1,,,,,,,,,,,,,471865,20180404-col-sdg-1
2018-04-09,20180409-sdg-col-1,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,471865,20180409-sdg-col-1
2018-04-12,20180412-col-was-1,4.0,5.6000000000000005,14.52,4.0,5.5200000000000005,12.984,4.0,5.51,12.792,4.0,5.5,12.6,471865,20180412-col-was-1
2018-04-16,20180416-col-pit-1,4.0,5.315789473684211,7.6421052631578945,4.0,5.3326226012793185,8.305330490405117,4.0,5.3331555792561,8.356325823223571,4.0,5.333333333333333,8.4,471865,20180416-col-pit-1
