Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-05,20180405-chc-mil-1,,,,,,,,,,,,,460075,20180405-chc-mil-1
2018-04-08,20180408-chc-mil-1,4.0,0.0,15.0,4.0,0.0,15.0,4.0,0.0,15.0,4.0,0.0,15.0,460075,20180408-chc-mil-1
2018-04-13,20180413-mil-nym-1,4.0,0.0,6.000000000000001,4.0,0.0,7.2,4.0,0.0,7.35,4.0,0.0,7.5,460075,20180413-mil-nym-1
2018-04-22,20180422-mia-mil-1,4.0,2.3684210526315783,13.673684210526313,4.0,1.8017057569296373,12.605117270788911,4.0,1.733768830822557,12.499293427542995,4.0,1.6666666666666667,12.4,460075,20180422-mia-mil-1
2018-04-28,20180428-mil-chc-1,4.0,3.046153846153846,7.993846153846153,4.0,2.4189137380191696,9.066019169329072,4.0,2.334764094362255,9.184531787285085,4.0,2.25,9.3,460075,20180428-mil-chc-1
2018-04-30,20180430-mil-cin-1,4.0,1.8767772511848342,4.925118483412323,4.0,1.854761924204441,6.95159438515119,4.0,1.8297233947330651,7.1977947242911355,4.0,1.8,7.44,460075,20180430-mil-cin-1
