Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-04,20180404-lad-ari-1,,,,,,,,,,,,,571771,20180404-lad-ari-1
2018-04-10,20180410-oak-lad-1,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,571771,20180410-oak-lad-1
2018-04-23,20180423-mia-lad-1,4.0,2.4,1.7999999999999998,4.0,2.08,1.56,4.0,2.04,1.5299999999999998,4.0,2.0,1.5,571771,20180423-mia-lad-1
2018-04-24,20180424-mia-lad-1,4.0,2.210526315789474,12.647368421052628,4.0,2.051172707889126,9.898294243070362,4.0,2.0261298493534197,9.564284762031729,4.0,2.0,9.233333333333333,571771,20180424-mia-lad-1
2018-04-27,20180427-lad-sfo-1,3.5846153846153848,2.123076923076923,8.639999999999999,3.7192332268370607,2.036805111821087,7.961482428115016,3.7348040783686525,2.019200319872051,7.823463214714114,3.75,2.0,7.675,571771,20180427-lad-sfo-1
2018-04-29,20180429-lad-sfo-1,3.7440758293838865,2.843601895734597,6.4748815165876765,3.784715133797699,2.494671773054279,6.804339340688055,3.7921695030481373,2.4476737826483204,6.7800836105488855,3.8,2.4,6.74,571771,20180429-lad-sfo-1
