Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,571602,20180329-chw-kan-1
2018-04-02,5.0,14.0,69.3,5.0,14.0,69.3,5.0,14.0,69.3,5.0,14.0,69.3,571602,20180402-chw-tor-1
2018-04-03,4.4,6.8,27.72,4.48,7.76,33.263999999999996,4.49,7.88,33.956999999999994,4.5,8.0,34.65,571602,20180403-chw-tor-1
2018-04-10,4.6842105263157885,5.947368421052631,14.589473684210526,4.667377398720682,6.76545842217484,21.277611940298506,4.666844420743901,6.881349153446207,22.182282362351685,4.666666666666667,7.0,23.099999999999998,571602,20180410-tam-chw-1
2018-04-21,4.815384615384615,5.553846153846154,12.26769230769231,4.760766773162939,6.269776357827476,17.83046645367412,4.755195921631349,6.3824230307876855,18.686394842063173,4.75,6.5,19.575,571602,20180421-hou-chw-1
