Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,452254,20180329-sfo-lad-1
2018-03-30,4.0,1.0,9.0,4.0,1.0,9.0,4.0,1.0,9.0,4.0,1.0,9.0,452254,20180330-sfo-lad-1
2018-04-01,3.4,1.0,3.6000000000000005,3.48,1.0,4.32,3.49,1.0,4.409999999999999,3.5,1.0,4.5,452254,20180401-sfo-lad-1
2018-04-03,3.684210526315789,0.5263157894736842,3.3157894736842106,3.6673773987206824,0.6396588486140725,3.8443496801705757,3.666844420743901,0.6532462338354886,3.921077189708039,3.6666666666666665,0.6666666666666666,4.0,452254,20180403-sea-sfo-1
2018-04-07,3.815384615384615,1.9692307692307687,1.938461538461539,3.7607667731629393,1.5831309904153352,2.764984025559105,3.7551959216313473,1.5407916833266693,2.8812235105957615,3.75,1.5,3.0,452254,20180407-lad-sfo-1
2018-04-10,4.654028436018957,3.9004739336492884,3.574407582938389,4.2830125509345836,2.8464817370428133,3.5661165595577367,4.2407770666418205,2.7216914557412806,3.599119251826722,4.2,2.6,3.6399999999999997,452254,20180410-ari-sfo-1
2018-04-11,4.049624060150377,4.302255639097744,3.547218045112782,4.024229896921218,3.2808447299444543,3.5527808998682655,4.012761433912953,3.140372601804644,3.5809042641963886,4.0,3.0,3.6166666666666667,452254,20180411-ari-sfo-1
2018-04-15,4.032054395337544,3.8411850412821757,4.415638659543468,4.01988489751849,3.2304825601079235,3.9916257518703344,4.010712468928061,3.1178344961420805,3.9693122198833337,4.0,3.0,3.957142857142857,452254,20180415-sfo-sdg-1
2018-04-17,4.020935765265663,2.8556701030927836,3.9245995241871534,4.016650287061646,2.8676573453426095,3.8303212732682863,4.009178608016286,2.814593145053394,3.8305216072459256,4.0,2.75,3.8375,452254,20180417-sfo-ari-1
2018-04-18,3.6715351311877327,1.8783579364665384,2.5814615825987173,3.864335196334092,2.438023385376088,3.2564604878257866,3.878288271479542,2.449540773705362,3.333703444136787,3.888888888888889,2.4444444444444446,3.411111111111111,452254,20180418-sfo-ari-1
