Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,608701,20180329-bos-tam-1
2018-03-30,3.0,6.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,608701,20180330-bos-tam-1
2018-04-05,2.4,2.4,2.4,2.48,2.88,2.88,2.49,2.94,2.94,2.5,3.0,3.0,608701,20180405-tam-bos-1
2018-04-08,2.210526315789474,2.210526315789474,4.105263157894736,2.3070362473347545,2.5628997867803838,4.004264392324094,2.32009065457939,2.6140514598053595,4.001066524463405,2.3333333333333335,2.6666666666666665,4.0,608701,20180408-tam-bos-1
2018-04-16,2.5384615384615383,4.2,4.975384615384614,2.501597444089456,3.8086900958466456,4.620753993610224,2.5003998400639746,3.77718712514994,4.5842147141143545,2.5,3.75,4.55,608701,20180416-tex-tam-1
2018-04-17,3.099526066350711,5.658767772511848,5.4454976303317535,2.851062787336376,4.786209487102017,4.989074072561877,2.8247834108782284,4.690638027477601,4.9337306815753585,2.8,4.6,4.88,608701,20180417-tex-tam-1
