Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-05,20180405-ari-stl-1,,,,,,,,,,,,,502054,20180405-ari-stl-1
2018-04-20,20180420-cin-stl-1,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,502054,20180420-cin-stl-1
2018-04-25,20180425-nym-stl-1,4.6,2.8000000000000003,9.24,4.5200000000000005,2.56,8.008,4.51,2.53,7.853999999999999,4.5,2.5,7.7,502054,20180425-nym-stl-1
2018-04-27,20180427-stl-pit-1,2.894736842105263,5.7368421052631575,4.863157894736842,3.2515991471215355,4.880597014925374,5.122388059701492,3.292894280762565,4.773496867084389,5.130595920543928,3.3333333333333335,4.666666666666667,5.133333333333334,502054,20180427-stl-pit-1
