Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-30,,,,,,,,,,,,,500208,20180330-nyy-tor-1
2018-04-01,4.0,2.0,9.5,4.0,2.0,9.5,4.0,2.0,9.5,4.0,2.0,9.5,500208,20180401-nyy-tor-1
2018-04-02,4.6,5.0,5.6000000000000005,4.5200000000000005,4.6000000000000005,6.12,4.51,4.55,6.185,4.5,4.5,6.25,500208,20180402-chw-tor-1
2018-04-03,4.31578947368421,4.526315789473684,4.36842105263158,4.332622601279318,4.383795309168444,4.995735607675907,4.3331555792561,4.359285428609519,5.080589254766032,4.333333333333333,4.333333333333333,5.166666666666667,500208,20180403-chw-tor-1
2018-04-10,4.6,8.461538461538462,8.867692307692307,4.5200000000000005,7.083706070287539,7.860753993610223,4.510000000000001,6.915963614554179,7.764215713714515,4.5,6.75,7.675,500208,20180410-tor-bal-1
2018-04-11,4.753554502369669,5.981042654028436,7.766824644549763,4.631948130425196,5.898057340704386,7.4267791378479675,4.615993553445451,5.852574936768187,7.382592259549409,4.6,5.8,7.340000000000001,500208,20180411-tor-bal-1
2018-04-13,4.478195488721806,4.8917293233082715,9.496390977443609,4.504484673991282,5.313521383075523,8.450043920524765,4.502793395558979,5.32836176697282,8.323010159945115,4.5,5.333333333333333,8.200000000000001,500208,20180413-tor-cle-1
2018-04-18,4.6629431762991755,5.99222923749393,8.329286061194754,4.593342410470761,5.795271182669471,8.046557289005875,4.582624465461151,5.757317731413167,7.982141452715978,4.571428571428571,5.714285714285714,7.9142857142857155,500208,20180418-kan-tor-1
2018-04-20,4.779857256145917,9.116732751784298,16.22770816812054,4.659492054451727,7.292573950122103,11.796584503875286,4.642386227409726,7.080727782536295,11.292263500933496,4.625,6.875,10.8125,500208,20180420-tor-nyy-1
2018-04-22,4.855197955244902,8.73454697198894,18.100521621198688,4.710507137297509,7.3985608999528205,13.280319519742578,4.688768688029383,7.199957271703947,12.642145595269946,4.666666666666667,7.0,12.022222222222222,500208,20180422-tor-nyy-1
