Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-04,20180404-sea-sfo-1,,,,,,,,,,,,,453923,20180404-sea-sfo-1
2018-04-09,20180409-ari-sfo-1,5.0,10.0,3.0,5.0,10.0,3.0,5.0,10.0,3.0,5.0,10.0,3.0,453923,20180409-ari-sfo-1
2018-04-12,20180412-sfo-sdg-1,3.8000000000000003,4.6000000000000005,3.3,3.96,5.32,3.26,3.9799999999999995,5.409999999999999,3.255,4.0,5.5,3.25,453923,20180412-sfo-sdg-1
2018-04-13,20180413-sfo-sdg-1,4.368421052631579,5.736842105263158,8.936842105263157,4.334754797441365,5.925373134328359,7.562473347547974,4.333688841487802,5.961338488201572,7.396973736835089,4.333333333333333,6.0,7.233333333333333,453923,20180413-sfo-sdg-1
2018-04-19,20180419-sfo-ari-1,4.215384615384615,3.76923076923077,9.046153846153844,4.240766773162939,4.542492012779553,8.022236421725239,4.245195921631347,4.64561175529788,7.875128948420632,4.25,4.75,7.725,453923,20180419-sfo-ari-1
2018-04-21,20180421-sfo-laa-1,4.132701421800948,2.706161137440759,7.876777251184833,4.184613877071067,3.716293350536089,7.550599782787989,4.1921567644394315,3.8570171748355815,7.469513478193015,4.2,4.0,7.38,453923,20180421-sfo-laa-1
2018-04-22,20180422-sfo-laa-1,3.7187969924812028,2.8135338345864667,6.094736842105263,3.9456781606073363,3.571817527467304,6.632747273640894,3.9730760074978417,3.6995244884914267,6.64815807832361,4.0,3.8333333333333335,6.6499999999999995,453923,20180422-sfo-laa-1
2018-04-24,20180424-was-sfo-1,3.818358426420593,3.2336085478387573,7.123360854783876,3.955419364232083,3.6486008746463026,7.057252244321547,3.9773989008550243,3.7477685812868136,7.02576781876397,4.0,3.857142857142857,6.985714285714286,453923,20180424-was-sfo-1
2018-04-25,20180425-was-sfo-1,3.8813639968279143,3.4994448850118958,4.652498017446471,3.9626711486827477,3.705761807175015,5.909272382477181,3.980635030898848,3.7838842439303932,6.019785845348013,4.0,3.875,6.1125,453923,20180425-was-sfo-1
2018-04-28,20180428-lad-sfo-1,4.264201137134213,2.9862813624745717,3.060247248448178,4.118084312986626,3.450203659278968,5.023942027953549,4.112846537166988,3.5525146853845424,5.23902039023641,4.111111111111111,3.6666666666666665,5.433333333333334,453923,20180428-lad-sfo-1
2018-04-29,20180429-lad-sfo-1,4.513795777682033,4.008582507539854,9.281382162860835,4.24123595219001,3.8062599168311992,7.310712081649841,4.218362685200208,3.8436133888054957,7.1611729695885735,4.2,3.9,7.029999999999999,453923,20180429-lad-sfo-1
