Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-16,20180416-cin-mil-1,,,,,,,,,,,,,542583,20180416-cin-mil-1
2018-04-25,20180425-mil-kan-1,4.0,4.0,6.2,4.0,4.0,6.2,4.0,4.0,6.2,4.0,4.0,6.2,542583,20180425-mil-kan-1
2018-04-27,20180427-mil-chc-1,4.0,5.2,8.479999999999999,4.0,5.04,8.176,4.0,5.02,8.138,4.0,5.0,8.1,542583,20180427-mil-chc-1
2018-04-29,20180429-mil-chc-1,4.0,3.6842105263157894,6.121052631578946,4.0,3.9445628997867805,6.491044776119403,4.0,3.972803626183176,6.529756032528997,4.0,4.0,6.566666666666666,542583,20180429-mil-chc-1
