Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-18,20180418-kan-tor-1,,,,,,,,,,,,,606192,20180418-kan-tor-1
2018-04-20,20180420-tor-nyy-1,6.0,15.0,47.4,6.0,15.0,47.4,6.0,15.0,47.4,6.0,15.0,47.4,606192,20180420-tor-nyy-1
2018-04-22,20180422-tor-nyy-1,5.3999999999999995,10.799999999999999,37.98,5.4799999999999995,11.36,39.236000000000004,5.49,11.43,39.392999999999994,5.5,11.5,39.55,606192,20180422-tor-nyy-1
2018-04-24,20180424-bos-tor-1,4.736842105263157,6.157894736842104,30.268421052631574,4.946695095948828,7.626865671641791,32.917057569296375,4.973336888414878,7.813358218904147,33.257885615251304,5.0,8.0,33.6,606192,20180424-bos-tor-1
2018-04-28,20180428-tex-tor-1,4.43076923076923,5.261538461538461,18.94153846153846,4.680894568690096,6.608562300319488,24.517341853035145,4.715211915233907,6.802071171531388,25.233617752898844,4.75,7.0,25.95,606192,20180428-tex-tor-1
2018-04-30,20180430-tor-min-1,4.265402843601896,4.777251184834123,16.35355450236967,4.522092747895249,6.00017964903112,21.644626452503246,4.5605020124539735,6.195945701168803,22.414271916410176,4.6,6.4,23.2,606192,20180430-tor-min-1
