Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,606466,20180329-col-ari-1
2018-04-05,4.0,8.0,3.0,4.0,8.0,3.0,4.0,8.0,3.0,4.0,8.0,3.0,606466,20180405-ari-stl-1
2018-04-07,4.6,5.0,3.0,4.5200000000000005,5.4,3.0,4.51,5.45,3.0,4.5,5.5,3.0,606466,20180407-ari-stl-1
2018-04-08,4.789473684210525,4.052631578947368,4.421052631578947,4.6929637526652455,4.5351812366737745,4.081023454157783,4.679909345420611,4.600453272896948,4.040261298493535,4.666666666666667,4.666666666666667,4.0,606466,20180408-ari-stl-1
2018-04-10,4.461538461538461,4.030769230769231,3.8307692307692314,4.498402555910543,4.384920127795527,3.777507987220447,4.499600159936026,4.441215513794483,3.7643882447021193,4.5,4.5,3.75,606466,20180410-ari-sfo-1
2018-04-13,4.66824644549763,4.018957345971564,8.387203791469192,4.615387756101942,4.295147026400242,6.558134426470468,4.607843337878711,4.345774697177468,6.346220698761928,4.6,4.4,6.14,606466,20180413-ari-lad-1
2018-04-17,4.7894736842105265,5.473684210526316,8.684210526315788,4.692963752665245,5.042413048497278,7.090996699849252,4.6799093454206115,5.017305882720764,6.870655192704896,4.666666666666667,5.0,6.6499999999999995,606466,20180417-sfo-ari-1
2018-04-18,4.509956289460904,3.8897523069451196,5.609519184069937,4.568698795978364,4.317511810229104,5.819411578139066,4.570743678680456,4.372290663941765,5.767508633380364,4.571428571428571,4.428571428571429,5.7,606466,20180418-sfo-ari-1
2018-04-20,4.679936558287074,3.5811260904044415,3.6637589214908806,4.638857135154132,4.1031965252536935,4.872787159993471,4.632206586701558,4.175799731445323,4.941690037268219,4.625,4.25,4.9875,606466,20180420-sdg-ari-1
