Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-31,,,,,,,,,,,,,594809,20180331-was-cin-1
2018-04-01,5.0,13.0,53.3,5.0,13.0,53.3,5.0,13.0,53.3,5.0,13.0,53.3,594809,20180401-was-cin-1
2018-04-03,5.0,8.8,38.36,5.0,9.36,40.352,5.0,9.43,40.601,5.0,9.5,40.849999999999994,594809,20180403-was-atl-1
2018-04-04,4.526315789473684,7.473684210526315,23.126315789473686,4.639658848614073,8.149253731343283,28.045628997867805,4.653246233835489,8.240634582055726,28.672323690174643,4.666666666666667,8.333333333333334,29.299999999999997,594809,20180404-was-atl-1
2018-04-05,4.723076923076923,4.7846153846153845,14.76615384615385,4.740830670926518,6.141980830670926,21.01364856230032,4.745203918432628,6.320447820871651,21.8641281487405,4.75,6.5,22.724999999999998,594809,20180405-nym-was-1
