Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-17,,,,,,,,,,,,,543257,20180417-cle-min-1
2018-04-18,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,543257,20180418-cle-min-1
2018-04-20,5.2,1.6,1.7999999999999998,5.04,1.52,1.56,5.02,1.51,1.5299999999999998,5.0,1.5,1.5,543257,20180420-min-tam-1
2018-04-22,4.63157894736842,4.157894736842104,5.542105263157893,4.665245202558635,3.4946695095948828,4.49317697228145,4.666311158512198,3.413678176243168,4.362978269564058,4.666666666666667,3.3333333333333335,4.233333333333333,543257,20180422-min-tam-1
