Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,518960,20180329-laa-oak-1
2018-04-01,5.0,6.0,3.0,5.0,6.0,3.0,5.0,6.0,3.0,5.0,6.0,3.0,518960,20180401-laa-oak-1
2018-04-02,4.4,4.8,1.2,4.48,4.96,1.44,4.49,4.98,1.47,4.5,5.0,1.5,518960,20180402-tex-oak-1
2018-04-06,3.7368421052631575,3.947368421052632,6.410526315789472,3.9466950959488276,4.253731343283582,5.317270788912579,3.9733368884148783,4.293427542994268,5.190667910945208,4.0,4.333333333333333,5.066666666666666,518960,20180406-oak-laa-1
2018-04-13,3.8461538461538454,6.046153846153846,7.569230769230767,3.961661341853035,5.586325878594249,6.407412140575079,3.9804078368652545,5.541591363454619,6.253926429428229,4.0,5.5,6.1,518960,20180413-oak-sea-1
2018-04-16,3.9052132701421796,5.260663507109005,5.81516587677725,3.9706028858167084,5.216354594523971,5.612717518230292,3.9846458837843044,5.208124533713045,5.550058623499325,4.0,5.2,5.4799999999999995,518960,20180416-chw-oak-1
2018-04-17,3.9398496240601504,6.261654135338346,7.125112781954887,3.97653226135021,5.777813751986203,6.376609509323265,3.9874674853580583,5.7211830581332,6.257556241349203,4.0,5.666666666666667,6.133333333333333,518960,20180417-chw-oak-1
