Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-04,20180404-sea-sfo-1,,,,,,,,,,,,,474832,20180404-sea-sfo-1
2018-04-09,20180409-ari-sfo-1,5.0,10.0,34.4,5.0,10.0,34.4,5.0,10.0,34.4,5.0,10.0,34.4,474832,20180409-ari-sfo-1
2018-04-12,20180412-sfo-sdg-1,4.4,4.6000000000000005,13.76,4.48,5.32,16.512,4.49,5.409999999999999,16.855999999999998,4.5,5.5,17.2,474832,20180412-sfo-sdg-1
2018-04-13,20180413-sfo-sdg-1,4.6842105263157885,5.736842105263158,11.505263157894735,4.667377398720682,5.925373134328359,13.805117270788912,4.666844420743901,5.961338488201572,14.131902413011597,4.666666666666667,6.0,14.466666666666667,474832,20180413-sfo-sdg-1
2018-04-19,20180419-sfo-ari-1,4.3999999999999995,3.76923076923077,10.464615384615385,4.48,4.542492012779553,12.456,4.490000000000001,4.64561175529788,12.77094282287085,4.5,4.75,13.1,474832,20180419-sfo-ari-1
2018-04-21,20180421-sfo-laa-1,4.246445497630331,2.706161137440759,13.6260663507109,4.368051869574803,3.716293350536089,13.912258596614432,4.384006446554551,3.8570171748355815,14.053477187738537,4.4,4.0,14.219999999999999,474832,20180421-sfo-laa-1
2018-04-22,20180422-sfo-laa-1,4.15639097744361,2.8135338345864667,17.855338345864663,4.293816087895373,3.571817527467304,16.188987437697772,4.3134381911949635,3.6995244884914267,16.101855998158825,4.333333333333333,3.8333333333333335,16.05,474832,20180422-sfo-laa-1
2018-04-24,20180424-was-sfo-1,4.455075279261778,3.2336085478387573,21.41170471102477,4.420451735017086,3.6486008746463026,18.289051781924755,4.423671971803117,3.7477685812868136,17.9961559734895,4.428571428571429,3.857142857142857,17.74285714285714,474832,20180424-was-sfo-1
2018-04-25,20180425-was-sfo-1,4.297224425059477,3.4994448850118958,22.725741475019827,4.352058243050648,3.705761807175015,19.413232852111555,4.363008656807531,3.7838842439303932,19.02763572302166,4.375,3.875,18.674999999999997,474832,20180425-was-sfo-1
2018-04-28,20180428-lad-sfo-1,4.195503625267332,2.9862813624745717,20.150164310677592,4.299312688444425,3.450203659278968,18.782004048763202,4.315926480394094,3.5525146853845424,18.531191858727738,4.333333333333333,3.6666666666666665,18.288888888888884,474832,20180428-lad-sfo-1
2018-04-29,20180429-lad-sfo-1,4.46840155105558,4.008582507539854,14.332556656613534,4.397157405641039,3.8062599168311992,16.57818831315517,4.397288731441217,3.8436133888054957,16.6839448964439,4.4,3.9,16.759999999999998,474832,20180429-lad-sfo-1
