Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,571437,20180329-phi-atl-1
2018-03-30,4.0,5.0,9.2,4.0,5.0,9.2,4.0,5.0,9.2,4.0,5.0,9.2,571437,20180330-phi-atl-1
2018-03-31,4.6,5.0,10.999999999999998,4.5200000000000005,5.0,10.76,4.51,5.0,10.729999999999999,4.5,5.0,10.7,571437,20180331-phi-atl-1
2018-04-03,4.31578947368421,3.5789473684210527,7.44736842105263,4.332622601279318,3.918976545842218,8.143923240938166,4.3331555792561,3.959738701506466,8.222970270630583,4.333333333333333,4.0,8.299999999999999,571437,20180403-phi-nym-1
2018-04-04,4.184615384615385,2.092307692307693,6.846153846153845,4.239233226837061,2.8186581469648564,7.541980830670926,4.244804078368653,2.9096321471411435,7.633447620951619,4.25,3.0,7.725,571437,20180404-phi-nym-1
2018-04-13,4.113744075829383,2.0568720379146925,4.218009478672985,4.183437992503736,2.627726378193874,5.783000302137007,4.1918496821151185,2.7128665479499103,5.982230807922276,4.2,2.8,6.18,571437,20180413-phi-tam-1
2018-04-16,4.07218045112782,2.0360902255639104,2.6766917293233083,4.146438689174691,2.50111444596852,4.616573547186724,4.156593770451063,2.5818641935769597,4.882885744678709,4.166666666666667,2.6666666666666665,5.1499999999999995,571437,20180416-phi-atl-1
2018-04-20,4.046624575036426,1.6692569208353576,2.7911607576493447,4.120178733588865,2.231928762167768,4.326683288064674,4.13145120773475,2.3278814228630504,4.580571209516336,4.142857142857143,2.4285714285714284,4.8428571428571425,571437,20180420-pit-phi-1
