Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-29,,,,,,,,,,,,,624585,20180329-chw-kan-1
2018-04-06,4.0,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,624585,20180406-kan-cle-1
2018-04-08,4.0,4.0,3.0,4.0,4.4,3.0,4.0,4.45,3.0,4.0,4.5,3.0,624585,20180408-kan-cle-1
2018-04-10,4.0,2.5789473684210527,7.263157894736841,4.0,3.174840085287847,6.243070362473347,4.0,3.2536995067324366,6.120783895480603,4.0,3.3333333333333335,6.0,624585,20180410-sea-kan-1
2018-04-12,4.0,2.7538461538461543,5.4923076923076914,4.0,3.1257507987220454,5.332523961661341,4.0,3.18641943222711,5.293164734106358,4.0,3.25,5.25,624585,20180412-laa-kan-1
2018-04-14,4.0,2.0805687203791474,3.3838862559241707,4.0,2.629971991082876,4.088844611753945,4.0,2.713467667035407,4.1481824093306985,4.0,2.8,4.2,624585,20180414-laa-kan-1
2018-04-21,4.0,2.4165413533834594,4.412932330827068,4.0,2.7046063585620583,4.5146630451020595,4.0,2.766123259208002,4.525241672238348,4.0,2.8333333333333335,4.533333333333333,624585,20180421-kan-det-1
