Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-03-30,,,,,,,,,,,,,514888,20180330-hou-tex-1
2018-04-02,4.0,1.0,6.0,4.0,1.0,6.0,4.0,1.0,6.0,4.0,1.0,6.0,514888,20180402-bal-hou-1
2018-04-03,4.6,4.0,8.1,4.5200000000000005,3.6,7.819999999999999,4.51,3.55,7.785,4.5,3.5,7.75,514888,20180403-bal-hou-1
2018-04-04,4.31578947368421,6.842105263157894,7.199999999999999,4.332622601279318,5.906183368869937,7.236247334754798,4.3331555792561,5.786561791761098,7.23539528062925,4.333333333333333,5.666666666666667,7.233333333333333,514888,20180404-bal-hou-1
2018-04-06,4.184615384615385,5.246153846153846,6.7846153846153845,4.239233226837061,5.090223642172525,6.945303514376997,4.244804078368653,5.047576969212315,6.960812674930028,4.25,5.0,6.975,514888,20180406-sdg-hou-1
2018-04-07,4.113744075829383,3.6161137440758293,6.483412322274882,4.183437992503736,4.136280121834707,6.724834845379345,4.1918496821151185,4.172031936945421,6.752976043070311,4.2,4.2,6.779999999999999,514888,20180407-sdg-hou-1
2018-04-08,4.07218045112782,2.66015037593985,7.403007518796993,4.146438689174691,3.5036948107506154,7.183733923648365,4.156593770451063,3.5891126611271376,7.165908070161161,4.166666666666667,3.6666666666666665,7.1499999999999995,514888,20180408-sdg-hou-1
2018-04-09,4.046624575036426,3.1345313258863534,4.781932977173386,4.120178733588865,3.592694188580039,5.895518802094268,4.13145120773475,3.6550843831004487,6.01535595972669,4.142857142857143,3.7142857142857144,6.128571428571428,514888,20180409-hou-min-1
2018-04-10,4.030452022204599,2.740999206978589,4.163838223632038,4.100629656808595,3.3336158970200906,5.424514343231328,4.112629415045879,3.41810173624517,5.583603328958557,4.125,3.5,5.7375,514888,20180410-hou-min-1
2018-04-11,4.020030254029524,2.1451671795941794,4.79223827656356,4.085553267708284,2.9839923129800026,5.5107339126729205,4.098021394302881,3.10447424996763,5.637609923997792,4.111111111111111,3.2222222222222223,5.766666666666667,514888,20180411-hou-min-1
2018-04-15,4.352451529513141,4.13121930202499,6.457028866867729,4.213247576477503,3.6844329310681614,6.095727459460409,4.2053008133310295,3.6867376816982578,6.1207819687298315,4.2,3.7,6.159999999999999,514888,20180415-tex-hou-1
2018-04-18,4.233593567067773,3.075271703436342,5.291207830998464,4.185226862005828,3.3316986589027793,5.688949119201914,4.182685697328511,3.390777410747101,5.777009116122595,4.181818181818182,3.4545454545454546,5.872727272727272,514888,20180418-hou-sea-1
2018-04-20,4.491046658259774,4.39367586684239,5.529307000161184,4.286756948507403,3.78881111770614,5.727709629779825,4.266753942566387,3.762018937733269,5.799945766381059,4.25,3.75,5.883333333333333,514888,20180420-hou-chw-1
2018-04-21,4.326519058009711,6.272102367332837,4.6818502380950875,4.2526502354603535,4.527566492221324,5.403277353237549,4.240957628284646,4.365259956095104,5.529178330794157,4.230769230769231,4.230769230769231,5.661538461538461,514888,20180421-hou-chw-1
2018-04-22,4.551784348752829,7.519006164790935,10.440961254231278,4.337955390591099,5.152209479312252,7.286271837617677,4.3103700247484,4.880541875092358,7.026246223818784,4.285714285714286,4.642857142857143,6.821428571428571,514888,20180422-hou-chw-1
