Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-09,20180409-tor-bal-1,,,,,,,,,,,,,434158,20180409-tor-bal-1
2018-04-10,20180410-tor-bal-1,5.0,7.0,18.9,5.0,7.0,18.9,5.0,7.0,18.9,5.0,7.0,18.9,434158,20180410-tor-bal-1
2018-04-11,20180411-tor-bal-1,5.0,4.0,22.38,5.0,4.4,21.915999999999997,5.0,4.45,21.857999999999997,5.0,4.5,21.799999999999997,434158,20180411-tor-bal-1
2018-04-13,20180413-tor-cle-1,5.0,3.526315789473684,13.2,5.0,3.8955223880597023,15.099786780383793,5.0,3.947207039061459,15.318917477669643,5.0,4.0,15.533333333333331,434158,20180413-tor-cle-1
2018-04-18,20180418-kan-tor-1,4.1692307692307695,5.384615384615385,7.716923076923077,4.438466453674121,5.047923322683706,10.860268370607027,4.469608156737305,5.021991203518593,11.256403038784486,4.5,5.0,11.649999999999999,434158,20180418-kan-tor-1
2018-04-20,20180420-tor-nyy-1,4.872037914691943,9.075829383886255,21.875829383886252,4.802655539314558,7.3689991099207095,18.729226447603725,4.800652380474744,7.180367955863535,18.469069011380686,4.8,7.0,18.24,434158,20180420-tor-nyy-1
2018-04-22,20180422-tor-nyy-1,4.918796992481203,8.682706766917294,18.34015037593985,4.842459766680701,7.496271508698546,17.412286447652548,4.837286176199279,7.330990436060119,17.317012146629217,4.833333333333333,7.166666666666667,17.23333333333333,434158,20180422-tor-nyy-1
2018-04-24,20180424-bos-tor-1,4.593491986401166,5.962603205439536,11.846721709567753,4.691386603020452,6.331334822544614,14.289847484698074,4.702852219242024,6.314491991476303,14.536607391691362,4.714285714285714,6.285714285714286,14.77142857142857,434158,20180424-bos-tor-1
2018-04-28,20180428-tex-tor-1,4.734496431403648,5.281839809674863,19.77378271213323,4.7415877227427865,5.952104304087353,17.60989943318716,4.7453992146159285,5.983092309462561,17.423695324300496,4.75,6.0,17.2625,434158,20180428-tex-tor-1
2018-04-30,20180430-tor-min-1,4.140889885764958,4.843148505555267,15.059902978457048,4.480662116980894,5.659638991313892,15.87049807953717,4.5190211594556855,5.725885490266098,15.94204350012034,4.555555555555555,5.777777777777778,16.01111111111111,434158,20180430-tor-min-1
