Date,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-15,,,,,,,,,,,,,493329,20180415-tex-hou-1
2018-04-18,4.0,1.0,3.5,4.0,1.0,3.5,4.0,1.0,3.5,4.0,1.0,3.5,493329,20180418-hou-sea-1
2018-04-20,4.0,4.6,6.92,4.0,4.12,6.463999999999999,4.0,4.06,6.406999999999999,4.0,4.0,6.35,493329,20180420-hou-chw-1
2018-04-21,4.473684210526316,7.1578947368421035,9.421052631578945,4.360341151385928,6.238805970149253,8.53091684434968,4.346753766164511,6.119717371017198,8.415744567391014,4.333333333333333,6.0,8.299999999999999,493329,20180421-hou-chw-1
