Date,Game_ID,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,PA,Team_score,FD_points,MLB_ID,Game_ID
2018-04-07,20180407-lad-sfo-1,,,,,,,,,,,,,523253,20180407-lad-sfo-1
2018-04-11,20180411-oak-lad-1,7.0,5.0,15.5,7.0,5.0,15.5,7.0,5.0,15.5,7.0,5.0,15.5,523253,20180411-oak-lad-1
2018-04-13,20180413-ari-lad-1,5.2,5.6000000000000005,10.100000000000001,5.4399999999999995,5.5200000000000005,10.819999999999999,5.47,5.51,10.909999999999998,5.5,5.5,11.0,523253,20180413-ari-lad-1
2018-04-14,20180414-ari-lad-1,4.63157894736842,6.263157894736842,9.673684210526314,4.921108742004264,6.053304904051173,10.236247334754795,4.960271963738168,6.026663111585123,10.317051059858684,5.0,6.0,10.4,523253,20180414-ari-lad-1
